T  	 	 mu 	 	 sigma 	 	 H 	 	 err
0.0662767	 	0.85072	 	0.81009	 	 -0.23541	 	0.0108559
0.0656139	 	0.657874	 	0.821413	 	 -0.299966	 	0.00720174
0.0649578	 	0.794395	 	0.917771	 	 -0.103013	 	0.0149248
0.0643082	 	0.831751	 	0.668129	 	 -0.42296	 	0.0043246
0.0636651	 	0.898998	 	0.696533	 	 -0.358623	 	0.00673047
0.0630285	 	0.896431	 	0.550376	 	 -0.35741	 	0.00404075
0.0623982	 	0.809927	 	0.671021	 	 -0.426466	 	0.00399077
0.0617742	 	0.903042	 	0.668086	 	 -0.375906	 	0.0055208
0.0611565	 	0.834678	 	0.593385	 	 -0.430264	 	0.00320422
0.0605449	 	0.694044	 	0.667372	 	 -0.399214	 	0.00289212
0.0599395	 	0.756706	 	0.598753	 	 -0.434166	 	0.00257295
0.0593401	 	0.629027	 	0.644007	 	 -0.349392	 	0.00284109
0.0587467	 	0.792574	 	0.573743	 	 -0.424317	 	0.00312925
0.0581592	 	0.742191	 	0.61829	 	 -0.430856	 	0.00253489
0.0575776	 	0.802762	 	0.681942	 	 -0.416212	 	0.00457182
0.0570018	 	0.990089	 	0.596432	 	 -0.302184	 	0.00504323
0.0564318	 	0.768138	 	0.652376	 	 -0.427833	 	0.00302042
0.0558675	 	0.836149	 	0.715228	 	 -0.377017	 	0.00772464
0.0553088	 	0.892182	 	0.672702	 	 -0.379795	 	0.00600558
0.0547557	 	0.870029	 	0.609221	 	 -0.426106	 	0.00300768
0.0542082	 	0.91097	 	0.583063	 	 -0.386675	 	0.00326584
0.0536661	 	0.921342	 	0.616529	 	 -0.382054	 	0.0042051
0.0531294	 	0.821262	 	0.618167	 	 -0.440222	 	0.00319069
0.0525981	 	0.558142	 	0.877569	 	 -0.272215	 	0.00659373
0.0520722	 	0.707961	 	0.663859	 	 -0.405793	 	0.00287357
0.0515514	 	0.806004	 	0.607046	 	 -0.444249	 	0.00281711
