# VELOCITY:     AVE_POFV:        ERROR:
     3.28105   0.0888765   0.0071729
     3.43366   0.0603527  0.00643037
     3.58626   0.0600672  0.00638973
     3.73887   0.0287434  0.00438413
     3.89148    0.017135  0.00456431
     4.04408    0.013682  0.00269582
     4.19669  0.00784835  0.00222067
      4.3493  0.00393845  0.00132675
     4.50191  0.00323178   0.0016797
   0.0763035  0.00362189  0.00200624
     0.22891   0.0277044  0.00544628
    0.381517   0.0731795  0.00758657
    0.534124    0.117969  0.00753688
    0.686731    0.182416   0.0136196
    0.839338    0.273656   0.0197472
    0.991945    0.372961   0.0144177
     1.14455    0.410486   0.0196704
     1.29716    0.451171   0.0190664
     1.44977    0.482774   0.0217721
     1.60237    0.499564   0.0170162
     1.75498    0.492074   0.0210153
     1.90759    0.521757   0.0199554
     2.06019    0.487641   0.0215477
      2.2128    0.430633   0.0227761
     2.36541     0.38681   0.0164801
     2.51802    0.332144   0.0168057
     2.67062    0.268824   0.0151749
     2.82323    0.167679   0.0103771
     2.97584    0.139624  0.00898777
     3.12844    0.138031   0.0101876
     3.28105   0.0887777  0.00677509
     3.43366   0.0634969  0.00679852
     3.58626   0.0594469  0.00606477
     3.73887   0.0284426  0.00415088
     3.89148   0.0162252  0.00440048
     4.04408   0.0130112  0.00262818
     4.19669  0.00741233  0.00213968
      4.3493  0.00371965  0.00127096
     4.50191  0.00305223  0.00159595
   0.0763035  0.00343127  0.00190968
     0.22891   0.0269472    0.005212
    0.381517   0.0752388  0.00746155
    0.534124    0.118814  0.00718744
    0.686731    0.182102   0.0129064
    0.839338    0.274444   0.0187236
    0.991945    0.368463   0.0143433
     1.14455    0.408968   0.0186936
     1.29716    0.442991   0.0197397
     1.44977    0.484748   0.0207155
     1.60237    0.501736   0.0162587
     1.75498    0.492583   0.0199154
     1.90759    0.522244   0.0189111
     2.06019    0.491324   0.0207261
      2.2128    0.429953   0.0215875
     2.36541    0.382504   0.0161653
     2.51802    0.332961    0.015941
     2.67062    0.268958   0.0143768
     2.82323    0.173949    0.011571
     2.97584    0.143404   0.0092757
     3.12844    0.137733  0.00965581
     3.28105   0.0865753  0.00676703
     3.43366   0.0622786  0.00654896
     3.58626   0.0587164   0.0057894
     3.73887    0.030519  0.00442135
     3.89148   0.0167396  0.00419884
     4.04408   0.0128517  0.00249469
     4.19669  0.00715792  0.00204213
      4.3493  0.00352388  0.00121905
     4.50191  0.00289159  0.00152002
   0.0763035   0.0034751   0.0018147
     0.22891   0.0289187   0.0053112
    0.381517   0.0764461  0.00718547
    0.534124    0.118768  0.00682822
    0.686731    0.186296   0.0129248
    0.839338     0.27643   0.0178924
    0.991945    0.366012   0.0138339
     1.14455     0.40751   0.0178157
     1.29716    0.437568   0.0194835
     1.44977    0.487236   0.0198286
     1.60237    0.495654   0.0165444
     1.75498    0.487713   0.0195057
     1.90759    0.519487   0.0181654
     2.06019    0.497458   0.0205772
      2.2128    0.425018   0.0210647
     2.36541      0.3818   0.0153724
     2.51802    0.331179   0.0152432
     2.67062    0.271508   0.0138823
     2.82323    0.181124   0.0130284
     2.97584     0.14648  0.00930801
     3.12844    0.141278  0.00980209
     3.28105    0.086025  0.00645101
     3.43366   0.0624744  0.00622444
     3.58626   0.0569015   0.0057774
     3.73887   0.0307617  0.00420694
     3.89148   0.0162955  0.00401231
     4.04408   0.0123744  0.00241517
     4.19669  0.00686525  0.00196089
      4.3493  0.00334768  0.00117076
     4.50191  0.00274701  0.00145088
